3.206315612792968750e+01,-7.278625488281250000e+01,7.234564971923828125e+01
3.807538223266601562e+01,-1.013660430908203125e+02,-1.020692291259765625e+02
-3.203156661987304688e+01,-1.546491241455078125e+02,6.426447296142578125e+01
4.152292251586914062e+01,7.085032653808593750e+01,-7.551536560058593750e+01
-2.737259101867675781e+01,3.134511756896972656e+01,-3.631902313232421875e+01
-6.777351379394531250e+01,7.860777282714843750e+01,-7.159336090087890625e+01
5.967193984985351562e+01,4.389287567138671875e+01,1.360995025634765625e+02
1.038446235656738281e+01,-7.368330383300781250e+01,-6.402962207794189453e+00
-1.410813293457031250e+02,5.500770568847656250e+01,-7.652262687683105469e+00
3.336294555664062500e+01,-7.158798217773437500e+01,-5.289341735839843750e+01
